,key,number of ones,number of zeros,odds ratio
101,cube25_cluster0,1,10,1.3403568820666136
100,cube24_cluster0,1,10,1.3403568820666136
70,cube18_cluster0,2667,34955,1.0227613142872904
9,cube2_cluster9,7123,93435,1.0220639336576225
37,cube10_cluster4,7126,93536,1.0213829877394316
18,cube3_cluster8,7112,93354,1.0213629993416826
59,cube12_cluster6,6913,90778,1.0209454624669059
26,cube4_cluster6,6913,90778,1.0209454624669059
92,cube20_cluster2,8913,117495,1.0170119422308201
90,cube20_cluster0,17031,224576,1.0169266501251917
2,cube2_cluster2,17031,224579,1.0169127002194915
38,cube10_cluster5,17031,224579,1.0169127002194915
16,cube3_cluster6,17031,224579,1.0169127002194915
94,cube20_cluster4,1542,20347,1.0158289410809391
74,cube18_cluster4,19757,261052,1.0148711095863687
55,cube12_cluster2,21070,278725,1.013682763704076
81,cube19_cluster1,21070,278725,1.013682763704076
22,cube4_cluster2,21070,278725,1.013682763704076
17,cube3_cluster7,3823,50561,1.0135463600495356
40,cube10_cluster7,3823,50561,1.0135463600495356
77,cube18_cluster7,3851,50952,1.0131329946800118
57,cube12_cluster4,3851,50952,1.0131329946800118
24,cube4_cluster4,3851,50952,1.0131329946800118
86,cube19_cluster6,3851,50952,1.0131329946800118
45,cube11_cluster2,21403,283402,1.012684360408714
43,cube11_cluster0,1376,18227,1.0118927834812061
78,cube18_cluster8,7081,93901,1.010872482399839
49,cube11_cluster6,3917,51984,1.010021331331591
83,cube19_cluster3,7748,102907,1.0092839595976837
62,cube12_cluster9,3255,43307,1.0074640213274049
29,cube4_cluster9,3255,43307,1.0074640213274049
47,cube11_cluster4,13869,184728,1.0064520208822398
89,cube19_cluster9,3267,43518,1.0062694906284628
8,cube2_cluster8,3572,47598,1.0059056857193978
99,cube20_cluster9,2372,31608,1.005882759531288
85,cube19_cluster5,3056,40733,1.0056314575150564
52,cube11_cluster9,3426,45746,1.0038374712150921
4,cube2_cluster4,4385,58602,1.0029660714934387
98,cube20_cluster8,3422,45736,1.0028795473420016
19,cube3_cluster9,3382,45207,1.0027542235622091
97,cube20_cluster7,4043,54248,0.9989352989152911
12,cube3_cluster2,4068,54607,0.9985015811910009
35,cube10_cluster2,4068,54607,0.9985015811910009
23,cube4_cluster3,2162,29077,0.9966011000008785
56,cube12_cluster3,2162,29077,0.9966011000008785
88,cube19_cluster8,6692,90111,0.9953531243770632
76,cube18_cluster6,13018,175735,0.9927542645662585
1,cube2_cluster1,12639,170672,0.9924425106712981
91,cube20_cluster1,12302,166170,0.9921498831113251
96,cube20_cluster6,7612,102865,0.9917643729405695
11,cube3_cluster1,12705,171703,0.9916173914764213
34,cube10_cluster1,12723,171955,0.9915657344378038
0,cube2_cluster0,8435,114025,0.9914154603607016
33,cube10_cluster0,8435,114025,0.9914154603607016
10,cube3_cluster0,8435,114025,0.9914154603607016
27,cube4_cluster7,7615,102966,0.9911749155141772
60,cube12_cluster7,7615,102966,0.9911749155141772
54,cube12_cluster1,12369,167269,0.9909755073637926
21,cube4_cluster1,12369,167269,0.9909755073637926
80,cube19_cluster0,12365,167244,0.990799749907084
46,cube11_cluster3,13142,177882,0.9900568126039188
73,cube18_cluster3,7943,107524,0.9900225121771685
72,cube18_cluster2,5769,78225,0.9883920341289467
7,cube2_cluster7,4338,58953,0.9861947319335956
39,cube10_cluster6,6698,91052,0.985849563295933
5,cube2_cluster5,7328,99649,0.985506778124034
36,cube10_cluster3,5290,71940,0.9854909255720371
13,cube3_cluster3,7328,99661,0.9853867193857078
71,cube18_cluster1,2263,30865,0.9826785170359988
87,cube19_cluster7,5386,73475,0.9823843860562053
20,cube4_cluster0,5386,73476,0.9823709003249299
53,cube12_cluster0,5386,73476,0.9823709003249299
44,cube11_cluster1,5384,73508,0.9815718283246749
93,cube20_cluster3,5384,73508,0.9815718283246749
42,cube10_cluster9,2611,35718,0.9797230372906562
95,cube20_cluster5,4979,68147,0.9791373666015295
48,cube11_cluster5,4979,68149,0.9791084011365636
84,cube19_cluster4,4979,68149,0.9791084011365636
58,cube12_cluster5,4979,68150,0.9790939190416184
25,cube4_cluster5,4979,68150,0.9790939190416184
3,cube2_cluster3,2954,40459,0.9785242649420277
79,cube18_cluster9,4983,68260,0.9782949468796192
14,cube3_cluster4,4988,68367,0.9777393322907656
6,cube2_cluster6,4984,68346,0.9772516915063214
41,cube10_cluster8,4984,68346,0.9772516915063214
75,cube18_cluster5,5451,74801,0.9765629103812846
50,cube11_cluster7,5295,72675,0.9763694546877653
82,cube19_cluster2,4373,60477,0.9689792036372563
15,cube3_cluster5,3921,54275,0.9681209480967958
61,cube12_cluster8,2,39,0.6873612530070786
51,cube11_cluster8,2,39,0.6873612530070786
28,cube4_cluster8,2,39,0.6873612530070786
69,cube17_cluster2,0,1,0.0
64,cube15_cluster1,0,1,0.0
30,cube9_cluster0,0,2,0.0
31,cube9_cluster1,0,7,0.0
65,cube16_cluster0,0,9,0.0
32,cube9_cluster2,0,1,0.0
66,cube16_cluster1,0,1,0.0
67,cube17_cluster0,0,2,0.0
68,cube17_cluster1,0,7,0.0
63,cube15_cluster0,0,9,0.0
