key,number of ones,number of zeros,odds ratio
cube4_cluster0,10,80,1.6462906274904707
cube8_cluster3,9,84,1.4111005694692969
cube3_cluster3,9,84,1.4111005694692969
cube5_cluster1,5131,53486,1.2676780463472843
cube0_cluster1,5131,53486,1.2676780463472843
cube2_cluster2,24710,282446,1.1647786345704834
cube7_cluster2,24710,282446,1.1647786345704834
cube6_cluster4,28020,325566,1.1461457335445502
cube1_cluster4,28020,325566,1.1461457335445502
cube0_cluster0,1745,20731,1.1091667996134038
cube5_cluster0,1745,20731,1.1091667996134038
cube2_cluster3,15700,188631,1.1010712054815621
cube7_cluster3,15700,188631,1.1010712054815621
cube1_cluster1,14802,179045,1.0930580362571594
cube6_cluster1,14802,179045,1.0930580362571594
cube1_cluster2,10324,127021,1.0727637575712883
cube6_cluster2,10324,127021,1.0727637575712883
cube3_cluster1,318,3925,1.0671009602172852
cube8_cluster1,318,3925,1.0671009602172852
cube3_cluster2,2,25,1.0536135564739826
cube8_cluster2,2,25,1.0536135564739826
cube3_cluster4,11,142,1.0202247609456288
cube8_cluster4,11,142,1.0202247609456288
cube5_cluster3,1672,22637,0.9726251713511026
cube0_cluster3,1672,22637,0.9726251713511026
cube7_cluster1,12063,174641,0.9062097939798754
cube2_cluster1,12063,174641,0.9062097939798754
cube7_cluster4,7993,118981,0.8818384925993477
cube2_cluster4,7993,118981,0.8818384925993477
cube9_cluster0,4,60,0.8780095138073762
cube7_cluster0,14057,209786,0.8771509555356727
cube2_cluster0,14057,209786,0.8771509555356727
cube1_cluster0,12037,182689,0.8626480995650272
cube6_cluster0,12037,182689,0.8626480995650272
cube0_cluster4,608,10019,0.7988497533039374
cube5_cluster4,608,10019,0.7988497533039374
cube6_cluster3,9340,160165,0.7611248458423455
cube1_cluster3,9340,160165,0.7611248458423455
cube5_cluster2,3210,69264,0.6064616628511565
cube0_cluster2,3210,69264,0.6064616628511565
cube8_cluster0,113,2527,0.5887874871714501
cube3_cluster0,113,2527,0.5887874871714501
