key,number of ones,number of zeros,odds ratio
cube18_cluster4,1,7,1.8926261256926955
cube5_cluster2,425,4128,1.3643001586769885
cube23_cluster2,1,10,1.3248376901585834
cube17_cluster2,1,10,1.3248376901585834
cube3_cluster3,801,8218,1.2917707495944197
cube4_cluster2,796,8171,1.2910874640535641
cube2_cluster2,787,8087,1.2897418405300294
cube19_cluster0,20417,228207,1.1931507363942908
cube20_cluster0,20427,228352,1.1929749612081733
cube8_cluster0,29105,329976,1.1789288022804498
cube7_cluster0,28855,327127,1.1788897170797277
cube13_cluster0,28875,327425,1.1786274164206352
cube4_cluster1,1486,16792,1.172920253881758
cube3_cluster2,1486,16792,1.172920253881758
cube22_cluster3,419,4789,1.159261649340502
cube12_cluster3,592,6828,1.1488333557978305
cube18_cluster1,592,6828,1.1488333557978305
cube14_cluster3,25300,293831,1.1482087658902862
cube13_cluster1,16119,191014,1.1218989426559791
cube7_cluster1,16119,191014,1.1218989426559791
cube15_cluster1,15742,187181,1.117891715196816
cube5_cluster0,982,11656,1.1163824962229425
cube14_cluster4,15232,182353,1.109978540298083
cube15_cluster0,2844,33999,1.1088366340267821
cube9_cluster2,15562,186585,1.1083311554631758
cube2_cluster0,13461,161657,1.1060211407141822
cube4_cluster0,13461,161657,1.1060211407141822
cube3_cluster0,13461,161657,1.1060211407141822
cube6_cluster1,1105,13413,1.0916391494340252
cube10_cluster1,1376,16763,1.0877403002732815
cube2_cluster4,11,134,1.087554715581294
cube16_cluster4,1244,15228,1.0824853315193963
cube18_cluster3,314,3881,1.071930686263823
cube12_cluster4,316,3906,1.0718540170653568
cube19_cluster3,1131,14052,1.066468262983542
cube21_cluster2,2242,27921,1.0641038309957804
cube20_cluster4,2196,27360,1.0636345172681254
cube18_cluster2,2,25,1.0598698728819471
cube14_cluster1,10360,129734,1.0591797163065049
cube8_cluster1,19101,240420,1.0546425861893274
cube22_cluster2,563,7137,1.0451441819539258
cube22_cluster1,834,10580,1.04441606104028
cube5_cluster3,80,1016,1.043185658547289
cube21_cluster3,1215,15434,1.0430464337553735
cube16_cluster0,3587,45802,1.0378212110215952
cube10_cluster4,3086,39692,1.0302290076418554
cube15_cluster4,3306,43143,1.0153087127302538
cube4_cluster3,932,12169,1.0146941687185778
cube3_cluster4,932,12169,1.0146941687185778
cube16_cluster3,2287,29877,1.014190022832687
cube7_cluster2,3160,41880,0.9996359730589226
cube8_cluster4,2617,34690,0.9994489976830349
cube10_cluster0,2061,27330,0.9990774937923962
cube12_cluster2,789,10464,0.9989437012048757
cube6_cluster2,789,10465,0.9988480950455633
cube20_cluster3,2636,35091,0.9951786994649322
cube13_cluster4,3169,42192,0.9950408741067701
cube19_cluster2,2028,27818,0.9656998770859717
cube1_cluster3,1,14,0.9463120664691752
cube21_cluster4,673,9609,0.927799236050234
cube11_cluster1,14,200,0.9273839041061767
cube17_cluster1,14,200,0.9273839041061767
cube9_cluster0,8557,123092,0.9196177376640545
cube22_cluster4,282,4074,0.9169981432892668
cube15_cluster2,5766,85357,0.893727226356901
cube19_cluster4,696,10353,0.8904948728852475
cube18_cluster0,225,3348,0.8902982881970127
cube20_cluster1,5113,76312,0.8865010519262112
cube13_cluster2,5115,76421,0.8855717738744858
cube19_cluster1,4428,66270,0.8842020564163924
cube9_cluster3,4707,70488,0.8835988939735936
cube0_cluster0,4,60,0.8832237644018879
cube21_cluster1,4412,66106,0.8831863623427768
cube7_cluster3,4445,66642,0.8826223483956279
cube9_cluster4,4576,69619,0.8696156135028086
cube12_cluster1,300,4650,0.8546466801598679
cube8_cluster3,7233,115213,0.8292634784097148
cube14_cluster2,7236,115280,0.8291217919618453
cube5_cluster4,30,488,0.814437908376942
cube10_cluster2,3709,60709,0.8079864285655662
cube14_cluster0,11118,183041,0.8002878060697911
cube16_cluster1,3483,58182,0.7916527105579546
cube8_cluster2,9552,160121,0.7862615695660087
cube15_cluster3,13111,222521,0.774711619161429
cube9_cluster1,5720,99058,0.7623038254848141
cube23_cluster0,3,53,0.7499062649739167
cube3_cluster1,2041,37190,0.7259605547196916
cube1_cluster0,2035,37103,0.7255245057445012
cube2_cluster1,2035,37103,0.7255245057445012
cube6_cluster0,2038,37162,0.7254383833121437
cube12_cluster0,2161,39892,0.7164599328545759
cube7_cluster4,2226,41132,0.7157202191310753
cube13_cluster3,2226,41132,0.7157202191310753
cube4_cluster4,538,10098,0.7055293456801031
cube5_cluster1,508,9610,0.7000264229147471
cube21_cluster0,4466,85049,0.6929513096634042
cube6_cluster3,105,2098,0.6629794798416727
cube20_cluster2,4061,82773,0.6471345366148928
cube16_cluster2,3264,69799,0.6170406304791485
cube10_cluster3,3217,69374,0.6118630876408774
cube6_cluster4,119,2577,0.6116875367251539
cube22_cluster0,3204,69134,0.6115124041278548
cube2_cluster3,111,2493,0.5897885722492303
cube1_cluster1,111,2493,0.5897885722492303
cube1_cluster2,2,45,0.5888148247048006
cube11_cluster2,2,47,0.5637587051209098
cube17_cluster3,2,47,0.5637587051209098
cube11_cluster0,2,105,0.2523469331496959
cube17_cluster0,2,105,0.2523469331496959
cube23_cluster1,2,105,0.2523469331496959
