,key,number of ones,number of zeros,odds ratio
131,cube29_cluster4,1,3,4.478909898481074
126,cube28_cluster5,1,3,4.478909898481074
120,cube27_cluster6,1,3,4.478909898481074
11,cube9_cluster2,37,454,1.0950700479039805
18,cube11_cluster0,37,454,1.0950700479039805
15,cube10_cluster1,37,454,1.0950700479039805
50,cube16_cluster9,537,6627,1.088915554586756
0,cube0_cluster0,6,77,1.0470166687516624
28,cube14_cluster7,823,10606,1.0427373406299354
46,cube16_cluster5,823,10614,1.0419499683374474
82,cube21_cluster8,823,10614,1.0419499683374474
39,cube15_cluster8,823,10657,1.0377380954725755
45,cube16_cluster4,1344,17437,1.0357787061587493
97,cube24_cluster3,1256,16384,1.0301476026275664
87,cube23_cluster3,1256,16384,1.0301476026275664
112,cube25_cluster8,1588,20786,1.0266296173808458
77,cube21_cluster3,1952,25576,1.0256260117017062
26,cube14_cluster5,1853,24296,1.0248933882148072
113,cube25_cluster9,625,8198,1.0244243306837035
109,cube25_cluster5,720,9473,1.0212988789085466
127,cube29_cluster0,622,8193,1.0201230608124048
122,cube28_cluster1,622,8193,1.0201230608124048
115,cube27_cluster1,622,8193,1.0201230608124048
55,cube19_cluster1,17038,224649,1.0198601512775252
95,cube24_cluster1,17033,224637,1.019605232394854
85,cube23_cluster1,17033,224637,1.019605232394854
65,cube20_cluster1,17040,224739,1.0195598700221535
62,cube19_cluster8,4406,58171,1.0179084103317009
100,cube24_cluster6,2589,34233,1.0162993255851083
90,cube23_cluster6,2589,34233,1.0162993255851083
34,cube15_cluster3,2634,35019,1.0107248199750125
47,cube16_cluster6,1782,23724,1.009320580258614
24,cube14_cluster3,2637,35124,1.0088397643666902
111,cube25_cluster7,2168,28880,1.008727235416718
33,cube15_cluster2,6011,80088,1.00861094509854
69,cube20_cluster5,8992,119821,1.0085390229340145
25,cube14_cluster4,8219,109616,1.007628382163038
84,cube23_cluster0,7658,102146,1.0074977803113045
94,cube24_cluster0,7658,102146,1.0074977803113045
72,cube20_cluster8,2982,39789,1.0070672061894326
30,cube14_cluster9,3258,43478,1.006924358246055
60,cube19_cluster6,4997,66713,1.0065242530584053
37,cube15_cluster6,4861,64962,1.0055086439118437
75,cube21_cluster1,4678,62528,1.0053177674383365
35,cube15_cluster4,3461,46287,1.0047355424901663
