key,number of ones,number of zeros,odds ratio
cube0_cluster0,10,73,1.77993901320544
cube2_cluster0,10,73,1.77993901320544
cube1_cluster0,10,73,1.77993901320544
cube33_cluster4,30,262,1.4878295736970992
cube36_cluster7,20,192,1.353497811724202
cube36_cluster2,409,3955,1.3440059600000747
cube29_cluster8,420,4064,1.3431436980932931
cube35_cluster4,420,4064,1.3431436980932931
cube26_cluster3,599,5847,1.3315603099189965
cube19_cluster3,599,5847,1.3315603099189965
cube35_cluster6,423,4184,1.3139219989392583
cube34_cluster4,423,4184,1.3139219989392583
cube26_cluster4,394,3924,1.3049067135398063
cube19_cluster5,394,3924,1.3049067135398063
cube33_cluster0,393,3919,1.3032536129469823
cube34_cluster2,790,8069,1.2726054679036947
cube19_cluster0,5000,51490,1.2646708865735181
cube26_cluster0,5000,51490,1.2646708865735181
cube35_cluster1,801,8242,1.2632348310622443
cube21_cluster6,7035,72819,1.2593237695110715
cube12_cluster5,3,31,1.2574303047276585
cube20_cluster7,5131,53240,1.25513690484118
cube28_cluster3,5145,53465,1.2532558913716034
cube27_cluster4,5138,53409,1.252855477329414
cube12_cluster1,283,3045,1.2077295288608576
cube19_cluster4,286,3092,1.201977951191074
cube13_cluster4,1048,11340,1.2012703406537428
cube15_cluster9,78,852,1.1895719743069388
cube22_cluster7,911,9976,1.1869258520549304
cube20_cluster2,2192,24135,1.1809728195402631
cube34_cluster1,261,2878,1.1784508338282103
cube33_cluster1,261,2878,1.1784508338282103
cube19_cluster6,261,2878,1.1784508338282103
cube26_cluster5,261,2878,1.1784508338282103
cube20_cluster4,1963,21776,1.1720413260173208
cube13_cluster8,556,6172,1.1707133141889547
cube35_cluster5,264,2932,1.1700397063237915
cube21_cluster0,20677,231663,1.1673813391932242
cube28_cluster2,20677,231663,1.1673813391932242
cube29_cluster1,19769,221774,1.1654758808011834
cube22_cluster3,19769,221774,1.1654758808011834
cube12_cluster6,13,145,1.1649328455178731
cube27_cluster7,1972,22168,1.156540163161647
cube28_cluster9,1972,22168,1.156540163161647
cube26_cluster8,31,359,1.122003614760574
cube19_cluster9,31,359,1.122003614760574
cube29_cluster5,2098,24457,1.1151525732259284
cube34_cluster0,13451,161575,1.0841992161152834
cube36_cluster0,13451,161575,1.0841992161152834
cube36_cluster1,479,5742,1.0840062024059556
cube22_cluster2,13452,161659,1.083702946417527
cube35_cluster0,13452,161659,1.083702946417527
cube29_cluster0,13452,161659,1.083702946417527
cube33_cluster6,1,12,1.0827859186278825
cube21_cluster5,14154,170494,1.0812267657260481
cube35_cluster2,497,5998,1.0767322800937218
cube27_cluster0,3595,43440,1.075911735162781
cube20_cluster1,13682,165817,1.0743736516788103
cube28_cluster0,13691,165998,1.0738961242601166
cube27_cluster1,13691,165998,1.0738961242601166
cube28_cluster6,5046,61281,1.0706941495925908
cube34_cluster9,31,386,1.0435166986932265
cube20_cluster9,3012,37591,1.0413815574023946
cube19_cluster1,2697,33898,1.0339888081462167
cube12_cluster0,2697,33898,1.0339888081462167
cube26_cluster1,2697,33914,1.033498159193565
cube22_cluster8,4115,51927,1.0299481618454331
cube13_cluster1,2740,34723,1.0254688883677785
cube14_cluster1,2740,34723,1.0254688883677785
cube21_cluster8,5242,66591,1.0231021645874399
cube19_cluster2,81,1030,1.0218172447773584
cube34_cluster5,81,1030,1.0218172447773584
cube35_cluster8,81,1030,1.0218172447773584
cube26_cluster2,81,1030,1.0218172447773584
cube14_cluster8,1594,20283,1.0212021002770828
cube33_cluster2,80,1018,1.021098337620651
cube29_cluster6,508,6468,1.0205335679590661
cube13_cluster7,1117,14352,1.011291841654544
cube14_cluster4,1117,14357,1.010938784140576
cube15_cluster5,370,4767,1.0085172862256189
cube27_cluster9,1837,23806,1.0026541864868612
cube20_cluster6,3256,42387,0.9980895294823658
cube14_cluster9,888,11574,0.9968977235646458
cube28_cluster4,3532,46125,0.9949259987868387
cube27_cluster2,1902,25029,0.9873414172786252
cube21_cluster3,5710,75163,0.9869225637502681
cube15_cluster2,822,10825,0.9866360641776297
cube35_cluster3,421,5585,0.9794317877218881
cube27_cluster6,2346,31228,0.9760053384022342
cube34_cluster3,404,5426,0.9674137855165116
cube22_cluster1,2899,38958,0.9666723717615926
cube29_cluster7,3216,43294,0.9649389364892711
cube15_cluster7,209,2830,0.9595666826841984
cube29_cluster9,1689,22954,0.9559170493464273
cube13_cluster9,559,7604,0.9551426680811135
cube14_cluster7,802,11016,0.9458670815551277
cube27_cluster5,2508,34549,0.9429093323038534
cube26_cluster6,24,338,0.9226062211678387
