,key,number of ones,number of zeros,odds ratio
44,cube7_cluster1,2,10,2.6825439346638227
21,cube3_cluster1,2,10,2.6825439346638227
49,cube13_cluster0,1,10,1.3412673608726113
12,cube2_cluster2,2670,34958,1.0246498353977398
32,cube5_cluster9,6914,90816,1.0216462234477817
39,cube6_cluster6,8742,115298,1.0174852808884833
2,cube1_cluster2,8946,118000,1.0173961160486695
35,cube6_cluster2,19757,261052,1.0161994752138022
1,cube1_cluster1,19757,261052,1.0161994752138022
25,cube5_cluster2,21070,278725,1.0150056060026522
11,cube2_cluster1,21403,283378,1.014066771305195
7,cube1_cluster7,3851,50952,1.013925758466873
38,cube6_cluster5,3851,50952,1.013925758466873
29,cube5_cluster6,3851,50952,1.013925758466873
10,cube2_cluster0,1376,18226,1.0126694826905631
17,cube2_cluster7,3917,51984,1.0107906796081774
9,cube1_cluster9,3498,46525,1.00853871691866
41,cube6_cluster8,3257,43346,1.0079101900749137
30,cube5_cluster7,3257,43346,1.0079101900749137
31,cube5_cluster8,3382,45209,1.0034156044670486
19,cube2_cluster9,12102,162015,1.0019643988093232
6,cube1_cluster6,7400,99518,0.9972749223404265
33,cube6_cluster0,13018,175735,0.993275075407167
3,cube1_cluster3,13010,175700,0.9928431784665568
23,cube5_cluster0,12706,171771,0.9917838080668767
13,cube2_cluster3,13098,177259,0.9906669097717894
16,cube2_cluster6,7943,107524,0.9905610585001958
36,cube6_cluster3,5769,78233,0.9888455867149287
28,cube5_cluster5,7327,99623,0.9861153180594708
42,cube6_cluster9,2263,30862,0.983373267056127
34,cube6_cluster1,5386,73476,0.9828694304605263
24,cube5_cluster1,5386,73476,0.9828694304605263
37,cube6_cluster4,4979,68150,0.9795720887417994
27,cube5_cluster4,4977,68139,0.9793326442636077
14,cube2_cluster4,4987,68282,0.9792429898597687
5,cube1_cluster5,4978,68176,0.9789917935468552
15,cube2_cluster5,5295,72675,0.976806216766379
40,cube6_cluster7,5771,79237,0.9764051760504516
0,cube1_cluster0,5771,79239,0.9763800211197442
4,cube1_cluster4,5578,77130,0.9694104701522427
26,cube5_cluster3,3921,54275,0.9685501842350247
18,cube2_cluster8,2,39,0.6878266705378608
8,cube1_cluster8,2,39,0.6878266705378608
20,cube3_cluster0,0,9,0.0
22,cube3_cluster2,0,1,0.0
43,cube7_cluster0,0,9,0.0
45,cube7_cluster2,0,1,0.0
46,cube7_cluster3,0,1,0.0
47,cube8_cluster0,0,9,0.0
48,cube8_cluster1,0,1,0.0
