graph number,cube0_cluster0,cube0_cluster1,cube1_cluster0,cube1_cluster1,cube2_cluster0,cube2_cluster1,cube3_cluster0,cube3_cluster1,Graph Label
0,0,0,0,0,0,0,0,0,tensor([[0]])
1,0,3,4,15,3,0,14,5,tensor([[0]])
2,24,5,32,7,5,24,36,3,tensor([[0]])
3,14,2,18,3,2,14,21,0,tensor([[0]])
4,12,6,18,6,6,12,22,2,tensor([[0]])
5,4,0,4,6,0,4,8,2,tensor([[0]])
6,8,0,9,7,0,8,12,4,tensor([[0]])
7,6,0,7,3,0,6,10,0,tensor([[0]])
8,0,3,5,13,3,0,18,0,tensor([[0]])
9,16,0,16,10,0,16,22,4,tensor([[0]])
10,13,1,14,6,1,13,18,2,tensor([[0]])
11,0,0,2,11,0,0,9,4,tensor([[1]])
12,12,0,14,8,0,12,20,2,tensor([[0]])
13,12,0,14,6,0,12,20,0,tensor([[0]])
14,12,1,15,27,1,12,20,22,tensor([[0]])
15,10,1,11,1,1,10,12,0,tensor([[0]])
16,7,2,10,2,2,7,10,2,tensor([[1]])
17,6,3,11,1,3,6,12,0,tensor([[0]])
18,18,0,19,4,0,18,20,3,tensor([[0]])
19,17,2,19,10,2,17,26,3,tensor([[0]])
20,16,6,24,13,6,16,32,5,tensor([[0]])
21,11,0,13,1,0,11,14,0,tensor([[0]])
22,2,1,3,6,1,2,7,2,tensor([[0]])
23,12,0,13,5,0,12,15,3,tensor([[0]])
24,0,3,5,9,3,0,8,6,tensor([[0]])
25,0,4,6,35,4,0,8,33,tensor([[0]])
26,10,0,12,3,0,10,15,0,tensor([[0]])
27,0,21,22,1,21,0,21,2,tensor([[0]])
28,11,1,12,4,1,11,15,1,tensor([[0]])
29,13,1,16,2,1,13,16,2,tensor([[0]])
30,4,1,6,3,1,4,9,0,tensor([[0]])
31,0,3,4,2,3,0,6,0,tensor([[0]])
32,0,1,7,5,2,0,11,2,tensor([[0]])
33,5,10,19,14,10,5,28,5,tensor([[0]])
34,0,3,5,7,3,0,9,3,tensor([[0]])
35,2,2,4,7,2,2,10,1,tensor([[0]])
36,2,1,5,9,1,2,10,4,tensor([[0]])
37,1,6,7,4,6,1,10,1,tensor([[0]])
38,2,3,5,5,3,2,9,1,tensor([[0]])
39,6,14,20,8,14,5,25,3,tensor([[0]])
40,0,1,1,7,1,0,1,7,tensor([[0]])
41,1,0,1,3,0,1,4,0,tensor([[0]])
42,3,9,13,2,10,3,6,10,tensor([[0]])
43,3,12,16,3,12,3,7,12,tensor([[0]])
44,3,8,15,11,8,3,21,5,tensor([[0]])
45,4,1,6,3,1,4,9,0,tensor([[0]])
46,4,1,6,3,1,4,8,1,tensor([[0]])
47,6,7,13,5,7,6,14,4,tensor([[0]])
48,8,4,14,6,4,8,19,1,tensor([[0]])
49,8,4,12,4,4,8,15,1,tensor([[0]])
50,8,4,12,4,4,8,16,0,tensor([[0]])
51,8,6,14,3,7,8,16,2,tensor([[0]])
52,0,5,6,3,5,0,9,0,tensor([[0]])
53,0,1,2,7,1,0,6,3,tensor([[0]])
54,0,4,5,5,4,0,5,5,tensor([[0]])
55,3,6,9,4,6,3,8,5,tensor([[0]])
56,0,3,4,2,3,0,6,0,tensor([[0]])
57,4,6,12,1,6,4,13,0,tensor([[0]])
58,2,4,7,5,4,2,10,2,tensor([[0]])
59,1,5,8,1,5,1,5,4,tensor([[0]])
60,6,3,10,6,3,6,15,1,tensor([[0]])
61,2,5,8,4,5,2,12,0,tensor([[0]])
62,0,5,5,3,5,0,5,3,tensor([[0]])
63,4,4,8,5,4,4,10,3,tensor([[0]])
64,2,7,9,7,7,2,14,2,tensor([[0]])
65,0,1,3,7,1,0,9,1,tensor([[0]])
